Start_Date,End_Date,Event_Name,Event_Intensity,Region,Duration,Federal_District
1991-01-01,1991-01-03,Ветер,26.0,Красноярский край,2,Сибирский
1991-01-01,1991-01-03,Метель,50.0,Красноярский край,2,Сибирский
1991-01-03,1991-01-05,Снег,370.0,Сахалинская область,2,Дальневосточный
1991-01-11,1991-01-12,Ветер,27.0,Республика Башкортостан,1,Приволжский
1991-01-13,1991-01-13,Ветер,29.0,Мурманская область,0,Северо-Западный
1991-01-15,1991-01-17,Ветер,34.0,Алтайский край,2,Сибирский
1991-01-15,1991-01-17,Метель,200.0,Алтайский край,2,Сибирский
1991-01-21,1991-01-23,Ветер,42.0,Мурманская область,2,Северо-Западный
1991-01-24,1991-01-24,Ветер,28.0,Республика Башкортостан,0,Приволжский
1991-01-26,1991-01-27,Метель,500.0,Астраханская область,1,Южный
1991-01-26,1991-01-27,Метель,500.0,Ставропольский край,1,Северо-Кавказский
1991-01-26,1991-01-27,Метель,500.0,Волгоградская область,1,Южный
1991-01-26,1991-01-27,Метель,500.0,Ростовская область,1,Южный
1991-01-26,1991-01-27,Метель,500.0,Республика Калмыкия,1,Южный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Липецкая область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Курская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Смоленская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Тверская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Саратовская область,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Пермский край,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Пензенская область,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Калмыкия,3,Южный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Волгоградская область,3,Южный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Ненецкий автономный округ,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Рязанская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Марий Эл,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Ярославская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Чувашская Республика,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-35.0,Московская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Архангельская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Костромская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Воронежская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Белгородская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Татарстан,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Ульяновская область,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Тамбовская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Кировская область,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Владимирская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Тульская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Калужская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Ивановская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Карелия,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Ленинградская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Самарская область,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Курганская область,3,Уральский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Орловская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Брянская область,3,Центральный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Челябинская область,3,Уральский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Свердловская область,3,Уральский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Калининградская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Псковская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Башкортостан,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Новгородская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Астраханская область,3,Южный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Коми,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Республика Мордовия,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Оренбургская область,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Мурманская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Вологодская область,3,Северо-Западный
1991-01-28,1991-01-31,Сильный мороз,-42.0,Удмуртcкая Республика,3,Приволжский
1991-01-28,1991-01-31,Сильный мороз,-42.0,Нижегородская область,3,Приволжский
1991-01-30,1991-01-31,Снег,25.0,Краснодарский край,1,Южный
1991-01-30,1991-01-31,Снег,25.0,Чеченская Республика,1,Северо-Кавказский
1991-01-30,1991-01-31,Снег,25.0,Ростовская область,1,Южный
1991-01-30,1991-01-31,Снег,25.0,Ставропольский край,1,Северо-Кавказский
1991-01-30,1991-01-31,Снег,25.0,Республика Ингушетия,1,Северо-Кавказский
1991-01-30,1991-01-31,Снег,25.0,Кабардино-Балкарская Республика,1,Северо-Кавказский
1991-01-30,1991-01-31,Снег,25.0,Республика Северная Осетия - Алания,1,Северо-Кавказский
1991-01-30,1991-01-31,Снег,25.0,Республика Адыгея,1,Южный
1991-01-30,1991-01-31,Снег,25.0,Республика Дагестан,1,Северо-Кавказский
1991-01-30,1991-01-31,Снег,25.0,Карачаево-Черкесская Республика,1,Северо-Кавказский
1991-02-08,1991-02-09,Ветер,26.0,Ямало-Ненецкий автономный округ,1,Уральский
1991-02-08,1991-02-09,Метель,50.0,Ямало-Ненецкий автономный округ,1,Уральский
1991-02-08,1991-02-09,Метель,50.0,Республика Коми,1,Северо-Западный
1991-02-08,1991-02-09,Ветер,29.0,Республика Коми,1,Северо-Западный
1991-02-14,1991-02-16,Сильный мороз,-40.0,Свердловская область,2,Уральский
1991-02-14,1991-02-16,Сильный мороз,-40.0,Челябинская область,2,Уральский
1991-02-14,1991-02-16,Сильный мороз,-40.0,Курганская область,2,Уральский
1991-02-14,1991-02-16,Сильный мороз,-40.0,Пермский край,2,Приволжский
1991-02-16,1991-02-16,Ветер,28.0,Республика Башкортостан,0,Приволжский
1991-02-24,1991-02-25,Туман,50.0,Самарская область,1,Приволжский
1991-03-09,1991-03-10,Метель,50.0,Чукотский автономный округ,1,Дальневосточный
1991-03-09,1991-03-10,Ветер,40.0,Чукотский автономный округ,1,Дальневосточный
1991-03-12,1991-03-13,Ветер,26.0,Чукотский автономный округ,1,Дальневосточный
1991-03-12,1991-03-13,Метель,100.0,Чукотский автономный округ,1,Дальневосточный
1991-03-21,1991-03-31,Сильный мороз,-40.0,Тюменская область,10,Уральский
1991-03-21,1991-03-31,Сильный мороз,-40.0,Кемеровская область,10,Сибирский
1991-03-21,1991-03-31,Сильный мороз,-40.0,Омская область,10,Сибирский
1991-03-21,1991-03-31,Сильный мороз,-40.0,Томская область,10,Сибирский
1991-03-21,1991-03-31,Сильный мороз,-40.0,Новосибирская область,10,Сибирский
1991-03-25,1991-03-25,Снег,22.0,Камчатский край,0,Дальневосточный
1991-03-27,1991-03-28,Ветер,40.0,Чукотский автономный округ,1,Дальневосточный
1991-03-31,1991-03-31,Ветер,28.0,Мурманская область,0,Северо-Западный
1991-04-01,1991-04-02,Метель,50.0,Красноярский край,1,Сибирский
1991-04-01,1991-04-02,Ветер,30.0,Красноярский край,1,Сибирский
1991-04-08,1991-04-09,Метель,50.0,Красноярский край,1,Сибирский
1991-04-08,1991-04-09,Ветер,29.0,Красноярский край,1,Сибирский
1991-04-12,1991-04-13,Метель,50.0,Красноярский край,1,Сибирский
1991-04-12,1991-04-13,Ветер,25.0,Красноярский край,1,Сибирский
1991-04-17,1991-04-18,Метель,50.0,Красноярский край,1,Сибирский
1991-04-17,1991-04-18,Ветер,29.0,Красноярский край,1,Сибирский
1991-04-19,1991-04-19,Снег,27.0,Камчатский край,0,Дальневосточный
1991-04-19,1991-04-19,Ветер,33.0,Камчатский край,0,Дальневосточный
1991-04-23,1991-04-25,Метель,200.0,Республика Бурятия,2,Сибирский
1991-04-23,1991-04-25,Ветер,30.0,Забайкальский край,2,Сибирский
1991-04-23,1991-04-25,Метель,200.0,Забайкальский край,2,Сибирский
1991-04-23,1991-04-25,Ветер,30.0,Республика Бурятия,2,Сибирский
1991-05-10,1991-05-12,Ветер,26.0,Самарская область,2,Приволжский
1991-05-10,1991-05-12,Ветер,26.0,Саратовская область,2,Приволжский
1991-05-10,1991-05-12,Ветер,26.0,Оренбургская область,2,Приволжский
1991-05-10,1991-05-12,Ветер,26.0,Ульяновская область,2,Приволжский
1991-05-10,1991-05-12,Ветер,26.0,Удмуртcкая Республика,2,Приволжский
1991-05-10,1991-05-12,Ветер,26.0,Пензенская область,2,Приволжский
1991-05-10,1991-05-12,Ветер,26.0,Республика Татарстан,2,Приволжский
1991-05-11,1991-05-11,Ветер,27.0,Республика Башкортостан,0,Приволжский
1991-05-11,1991-05-11,Ветер,34.0,Саратовская область,0,Приволжский
1991-05-20,1991-05-22,Ветер,30.0,Ярославская область,2,Центральный
1991-05-20,1991-05-22,Ветер,30.0,Нижегородская область,2,Приволжский
1991-05-20,1991-05-22,Ветер,30.0,Тамбовская область,2,Центральный
1991-05-20,1991-05-22,Ветер,30.0,Саратовская область,2,Приволжский
1991-05-20,1991-05-22,Ветер,30.0,Ульяновская область,2,Приволжский
1991-06-01,1991-06-02,Ветер,25.0,Республика Башкортостан,1,Приволжский
1991-06-02,1991-06-02,Град,20.0,Кабардино-Балкарская Республика,0,Северо-Кавказский
1991-06-05,1991-06-10,Ветер,25.0,Республика Башкортостан,5,Приволжский
1991-06-05,1991-06-05,Град,27.0,Республика Башкортостан,0,Приволжский
1991-06-06,1991-06-06,Ливень,44.0,Московская область,0,Центральный
1991-06-16,1991-06-16,Ветер,25.0,Республика Башкортостан,0,Приволжский
1991-06-16,1991-06-16,Град,45.0,Омская область,0,Сибирский
1991-06-16,1991-06-16,Ветер,40.0,Омская область,0,Сибирский
1991-06-18,1991-06-19,Дождь,99.0,Новосибирская область,1,Сибирский
1991-06-18,1991-06-19,Дождь,99.0,Кемеровская область,1,Сибирский
1991-06-19,1991-06-19,Град,20.0,Республика Мордовия,0,Приволжский
1991-06-19,1991-06-19,Град,20.0,Ярославская область,0,Центральный
1991-07-01,1991-07-05,Сильная жара,44.0,Волгоградская область,4,Южный
1991-07-01,1991-07-05,Сильная жара,44.0,Ростовская область,4,Южный
1991-07-06,1991-07-07,Дождь,54.0,Республика Бурятия,1,Сибирский
1991-07-06,1991-07-07,Дождь,49.0,Забайкальский край,1,Сибирский
1991-07-15,1991-07-18,Продолжительный дождь,153.0,Приморский край,3,Дальневосточный
1991-07-20,1991-07-31,Сильная жара,40.0,Республика Дагестан,11,Северо-Кавказский
1991-07-20,1991-07-31,Сильная жара,40.0,Республика Адыгея,11,Южный
1991-07-20,1991-07-31,Сильная жара,40.0,Республика Калмыкия,11,Южный
1991-07-20,1991-07-31,Сильная жара,40.0,Чеченская Республика,11,Северо-Кавказский
1991-07-20,1991-07-31,Сильная жара,40.0,Ростовская область,11,Южный
1991-07-20,1991-07-31,Сильная жара,40.0,Республика Северная Осетия - Алания,11,Северо-Кавказский
1991-07-20,1991-07-31,Сильная жара,40.0,Краснодарский край,11,Южный
1991-07-20,1991-07-31,Сильная жара,40.0,Кабардино-Балкарская Республика,11,Северо-Кавказский
1991-07-20,1991-07-31,Сильная жара,40.0,Карачаево-Черкесская Республика,11,Северо-Кавказский
1991-07-20,1991-07-31,Сильная жара,40.0,Ставропольский край,11,Северо-Кавказский
1991-07-20,1991-07-31,Сильная жара,40.0,Республика Ингушетия,11,Северо-Кавказский
1991-07-30,1991-07-31,Дождь,58.0,Хабаровский край,1,Дальневосточный
1991-07-30,1991-07-31,Дождь,83.0,Приморский край,1,Дальневосточный
1991-07-30,1991-07-31,Ветер,35.0,Хабаровский край,1,Дальневосточный
1991-07-30,1991-07-31,Ветер,35.0,Приморский край,1,Дальневосточный
1991-07-31,1991-08-01,Ливень,107.0,Краснодарский край,1,Южный
1991-08-08,1991-08-08,Ветер,22.0,Саратовская область,0,Приволжский
1991-08-08,1991-08-08,Ветер,22.0,Пензенская область,0,Приволжский
1991-08-10,1991-08-10,Ветер,33.0,Омская область,0,Сибирский
1991-09-10,1991-09-10,Ветер,30.0,Ханты-Мансийский автономный округ,0,Уральский
1991-09-10,1991-09-10,Ветер,30.0,Ямало-Ненецкий автономный округ,0,Уральский
1991-09-10,1991-09-10,Ветер,30.0,Тюменская область,0,Уральский
1991-09-28,1991-09-29,Ветер,42.0,Сахалинская область,1,Дальневосточный
1991-09-28,1991-09-29,Ливень,94.0,Сахалинская область,1,Дальневосточный
1991-09-28,1991-09-29,Ветер,48.0,Камчатский край,1,Дальневосточный
1991-09-28,1991-09-29,Дождь,105.0,Сахалинская область,1,Дальневосточный
1991-09-28,1991-09-29,Дождь,105.0,Приморский край,1,Дальневосточный
1991-09-28,1991-09-29,Ветер,30.0,Приморский край,1,Дальневосточный
1991-10-05,1991-10-08,Туман,500.0,Тверская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Владимирская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Калужская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Костромская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Брянская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Тульская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Орловская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Воронежская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Смоленская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Липецкая область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Рязанская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Ярославская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Курская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Тамбовская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Белгородская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Московская область,3,Центральный
1991-10-05,1991-10-08,Туман,500.0,Ивановская область,3,Центральный
1991-10-12,1991-10-13,Туман,500.0,Смоленская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Орловская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Тверская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Ярославская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Белгородская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Костромская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Московская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Ивановская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Рязанская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Липецкая область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Брянская область,1,Центральный
1991-10-12,1991-10-13,Туман,50.0,Тульская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Калужская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Воронежская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Курская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Тамбовская область,1,Центральный
1991-10-12,1991-10-13,Туман,500.0,Владимирская область,1,Центральный
1991-10-27,1991-10-29,Ветер,28.0,Тюменская область,2,Уральский
1991-10-27,1991-10-29,Ветер,28.0,Ханты-Мансийский автономный округ,2,Уральский
1991-10-27,1991-10-29,Ветер,28.0,Иркутская область,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Омская область,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Ямало-Ненецкий автономный округ,2,Уральский
1991-10-27,1991-10-29,Ветер,28.0,Республика Алтай,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Кемеровская область,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Красноярский край,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Томская область,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Новосибирская область,2,Сибирский
1991-10-27,1991-10-29,Ветер,28.0,Алтайский край,2,Сибирский
1991-11-01,1991-11-01,Метель,100.0,Ульяновская область,0,Приволжский
1991-11-02,1991-11-03,Метель,50.0,Красноярский край,1,Сибирский
1991-11-02,1991-11-03,Ветер,27.0,Красноярский край,1,Сибирский
1991-11-07,1991-11-09,Туман,50.0,Самарская область,2,Приволжский
1991-11-07,1991-11-09,Туман,50.0,Ульяновская область,2,Приволжский
1991-11-16,1991-11-20,Туман,50.0,Саратовская область,4,Приволжский
1991-11-16,1991-11-20,Туман,50.0,Самарская область,4,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Белгородская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Республика Коми,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Воронежская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Смоленская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Рязанская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Самарская область,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Тамбовская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Ставропольский край,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Республика Мордовия,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Республика Марий Эл,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Вологодская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Саратовская область,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Пензенская область,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Волгоградская область,5,Южный
1991-12-05,1991-12-10,Ветер,34.0,Астраханская область,5,Южный
1991-12-05,1991-12-10,Ветер,34.0,Ростовская область,5,Южный
1991-12-05,1991-12-10,Ветер,34.0,Республика Северная Осетия - Алания,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Краснодарский край,5,Южный
1991-12-05,1991-12-10,Ветер,34.0,Республика Калмыкия,5,Южный
1991-12-05,1991-12-10,Ветер,34.0,Новгородская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Ленинградская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Калининградская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Липецкая область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Воронежская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Смоленская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Рязанская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Чувашская Республика,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Ивановская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Костромская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Тверская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Ненецкий автономный округ,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Ярославская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Тульская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Брянская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Владимирская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Ульяновская область,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Нижегородская область,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Московская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Белгородская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Республика Коми,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Республика Карелия,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Чеченская Республика,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Республика Адыгея,5,Южный
1991-12-05,1991-12-10,Ветер,34.0,Республика Дагестан,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Республика Ингушетия,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Кабардино-Балкарская Республика,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Карачаево-Черкесская Республика,5,Северо-Кавказский
1991-12-05,1991-12-10,Ветер,34.0,Орловская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Тамбовская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Республика Татарстан,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Ненецкий автономный округ,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Калужская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Мурманская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Республика Татарстан,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Архангельская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Псковская область,5,Северо-Западный
1991-12-05,1991-12-10,Ветер,34.0,Кировская область,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Курская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Тверская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Ярославская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Тульская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Брянская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Владимирская область,5,Центральный
1991-12-05,1991-12-10,Ветер,34.0,Самарская область,5,Приволжский
1991-12-05,1991-12-10,Ветер,34.0,Костромская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Чувашская Республика,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Ростовская область,5,Южный
1991-12-05,1991-12-10,Гололед,30.0,Нижегородская область,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Республика Мордовия,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Республика Марий Эл,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Вологодская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Пензенская область,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Краснодарский край,5,Южный
1991-12-05,1991-12-10,Гололед,30.0,Астраханская область,5,Южный
1991-12-05,1991-12-10,Гололед,30.0,Ивановская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Республика Северная Осетия - Алания,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Ставропольский край,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Республика Калмыкия,5,Южный
1991-12-05,1991-12-10,Гололед,30.0,Новгородская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Ленинградская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Калининградская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Волгоградская область,5,Южный
1991-12-05,1991-12-10,Гололед,30.0,Кировская область,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Курская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Саратовская область,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Псковская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Карачаево-Черкесская Республика,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Калужская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Мурманская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Московская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Орловская область,5,Центральный
1991-12-05,1991-12-10,Гололед,30.0,Ульяновская область,5,Приволжский
1991-12-05,1991-12-10,Гололед,30.0,Архангельская область,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Республика Карелия,5,Северо-Западный
1991-12-05,1991-12-10,Гололед,30.0,Чеченская Республика,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Республика Адыгея,5,Южный
1991-12-05,1991-12-10,Гололед,30.0,Республика Дагестан,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Республика Ингушетия,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Кабардино-Балкарская Республика,5,Северо-Кавказский
1991-12-05,1991-12-10,Гололед,30.0,Липецкая область,5,Центральный
1991-12-22,1991-12-25,Метель,50.0,Красноярский край,3,Сибирский
1991-12-23,1991-12-29,Гололед,24.0,Республика Ингушетия,6,Северо-Кавказский
1991-12-23,1991-12-29,Гололед,24.0,Волгоградская область,6,Южный
1991-12-23,1991-12-29,Гололед,24.0,Республика Адыгея,6,Южный
1991-12-23,1991-12-29,Гололед,24.0,Чеченская Республика,6,Северо-Кавказский
1991-12-23,1991-12-29,Гололед,24.0,Ростовская область,6,Южный
1991-12-23,1991-12-29,Гололед,46.0,Республика Калмыкия,6,Южный
1991-12-23,1991-12-29,Гололед,24.0,Карачаево-Черкесская Республика,6,Северо-Кавказский
1991-12-23,1991-12-29,Гололед,24.0,Краснодарский край,6,Южный
1991-12-23,1991-12-29,Гололед,24.0,Республика Северная Осетия - Алания,6,Северо-Кавказский
1991-12-23,1991-12-29,Гололед,24.0,Ставропольский край,6,Северо-Кавказский
1991-12-23,1991-12-29,Гололед,24.0,Республика Дагестан,6,Северо-Кавказский
1991-12-23,1991-12-29,Гололед,24.0,Кабардино-Балкарская Республика,6,Северо-Кавказский
1991-12-29,1991-12-30,Ветер,39.0,Сахалинская область,1,Дальневосточный
1991-12-29,1991-12-30,Снег,23.0,Сахалинская область,1,Дальневосточный
1991-12-29,1991-12-30,Метель,50.0,Сахалинская область,1,Дальневосточный
1992-01-04,1992-01-04,Ветер,24.0,Республика Башкортостан,0,Приволжский
1992-01-10,1992-01-31,Сильный мороз,-50.0,Ханты-Мансийский автономный округ,21,Уральский
1992-01-10,1992-01-31,Сильный мороз,-50.0,Ямало-Ненецкий автономный округ,21,Уральский
1992-01-17,1992-01-17,Ветер,27.0,Калининградская область,0,Северо-Западный
1992-01-27,1992-01-28,Метель,500.0,Красноярский край,1,Сибирский
1992-01-27,1992-01-28,Ветер,29.0,Красноярский край,1,Сибирский
1992-01-31,1992-01-31,Снег,78.0,Краснодарский край,0,Южный
1992-02-03,1992-02-04,Ветер,28.0,Красноярский край,1,Сибирский
1992-02-03,1992-02-04,Метель,50.0,Красноярский край,1,Сибирский
1992-02-06,1992-02-06,Ветер,34.0,Магаданская область,0,Дальневосточный
1992-02-09,1992-02-11,Ветер,27.0,Красноярский край,2,Сибирский
1992-02-09,1992-02-11,Метель,500.0,Красноярский край,2,Сибирский
1992-02-12,1992-02-13,Метель,50.0,Сахалинская область,1,Дальневосточный
1992-02-19,1992-02-20,Ветер,25.0,Пензенская область,1,Приволжский
1992-02-19,1992-02-20,Ветер,25.0,Ульяновская область,1,Приволжский
1992-02-19,1992-02-20,Ветер,25.0,Самарская область,1,Приволжский
